==> connecting to <LAN_IP>:5555
==> capturing device facts
==> stopping prior instance + clearing logcat
==> launching soak: tiles=6 pool=live resolution=auto
==> streaming events to docs/findings/runs/long-soak-6t-live-upstairs-v3-20260531-2229/events.log
==> running for 118800 seconds (Ctrl+C aborts early)
[2026-06-01 01:09:55] pss=131.6MB java=30600KB native=27768KB graphics=4756KB
[2026-06-01 01:10:56] pss=135.5MB java=32152KB native=30212KB graphics=4756KB
[2026-06-01 01:11:57] pss=132.1MB java=30660KB native=28160KB graphics=4756KB
[2026-06-01 01:12:57] pss=131.8MB java=30380KB native=28156KB graphics=4756KB
[2026-06-01 01:13:58] pss=131.8MB java=30376KB native=28160KB graphics=4756KB
[2026-06-01 01:14:59] pss=131.8MB java=30396KB native=28160KB graphics=4756KB
[2026-06-01 01:15:59] pss=135.6MB java=33664KB native=28988KB graphics=4756KB
[2026-06-01 01:17:00] pss=134.0MB java=33288KB native=28368KB graphics=4756KB
[2026-06-01 01:18:01] pss=133.4MB java=33056KB native=28020KB graphics=4756KB
[2026-06-01 01:19:02] pss=132.3MB java=32724KB native=27248KB graphics=4756KB
[2026-06-01 01:20:02] pss=132.1MB java=32640KB native=27108KB graphics=4756KB
[2026-06-01 01:21:03] pss=132.3MB java=32772KB native=27192KB graphics=4756KB
[2026-06-01 01:22:04] pss=132.3MB java=32764KB native=27192KB graphics=4756KB
[2026-06-01 01:23:05] pss=132.4MB java=32772KB native=27296KB graphics=4756KB
[2026-06-01 01:24:05] pss=132.4MB java=32764KB native=27292KB graphics=4756KB
[2026-06-01 01:25:06] pss=132.4MB java=32776KB native=27292KB graphics=4756KB
[2026-06-01 01:26:07] pss=133.9MB java=33408KB native=28180KB graphics=4756KB
[2026-06-01 01:27:08] pss=133.2MB java=33124KB native=27680KB graphics=4756KB
[2026-06-01 01:28:08] pss=132.4MB java=32852KB native=27164KB graphics=4756KB
[2026-06-01 01:29:09] pss=133.9MB java=33428KB native=28152KB graphics=4756KB
[2026-06-01 01:30:10] pss=135.4MB java=34168KB native=28936KB graphics=4756KB
[2026-06-01 01:31:10] pss=135.7MB java=34120KB native=29280KB graphics=4756KB
[2026-06-01 01:32:11] pss=135.4MB java=34232KB native=28904KB graphics=4756KB
[2026-06-01 01:33:12] pss=135.5MB java=34276KB native=28904KB graphics=4756KB
[2026-06-01 01:34:13] pss=134.3MB java=33704KB native=28240KB graphics=4756KB
[2026-06-01 01:35:14] pss=135.4MB java=34208KB native=28904KB graphics=4756KB
[2026-06-01 01:36:14] pss=137.1MB java=34872KB native=29948KB graphics=4756KB
[2026-06-01 01:37:15] pss=132.8MB java=33192KB native=27264KB graphics=4756KB
[2026-06-01 01:38:16] pss=135.3MB java=34088KB native=28960KB graphics=4756KB
[2026-06-01 01:39:16] pss=135.5MB java=34276KB native=28960KB graphics=4756KB
[2026-06-01 01:40:17] pss=135.5MB java=34280KB native=28960KB graphics=4756KB
[2026-06-01 01:41:18] pss=137.0MB java=34864KB native=29952KB graphics=4756KB
[2026-06-01 01:42:19] pss=137.1MB java=34960KB native=29952KB graphics=4756KB
[2026-06-01 01:43:19] pss=137.1MB java=35000KB native=29980KB graphics=4756KB
[2026-06-01 01:44:20] pss=134.5MB java=33788KB native=28492KB graphics=4756KB
[2026-06-01 01:45:21] pss=134.2MB java=33588KB native=28404KB graphics=4756KB
[2026-06-01 01:46:22] pss=135.5MB java=34176KB native=29164KB graphics=4756KB
[2026-06-01 01:47:22] pss=134.3MB java=33692KB native=28460KB graphics=4756KB
[2026-06-01 01:48:23] pss=132.7MB java=33000KB native=27472KB graphics=4756KB
[2026-06-01 01:49:24] pss=132.5MB java=32900KB native=27344KB graphics=4756KB
[2026-06-01 01:50:25] pss=132.5MB java=32908KB native=27348KB graphics=4756KB
[2026-06-01 01:51:25] pss=132.6MB java=32944KB native=27344KB graphics=4756KB
[2026-06-01 01:52:26] pss=132.5MB java=32912KB native=27348KB graphics=4756KB
[2026-06-01 01:53:27] pss=132.3MB java=32840KB native=27348KB graphics=4756KB
[2026-06-01 01:54:28] pss=135.3MB java=34200KB native=29076KB graphics=4756KB
[2026-06-01 01:55:28] pss=133.1MB java=33000KB native=28012KB graphics=4756KB
[2026-06-01 01:56:29] pss=136.5MB java=34664KB native=29884KB graphics=4756KB
[2026-06-01 01:57:30] pss=135.7MB java=34364KB native=29324KB graphics=4756KB
[2026-06-01 01:58:31] pss=142.0MB java=41168KB native=28896KB graphics=4776KB
[2026-06-01 01:59:31] pss=123.4MB java=29824KB native=21064KB graphics=4764KB
[2026-06-01 02:00:32] pss=127.3MB java=30760KB native=23984KB graphics=4768KB
[2026-06-01 02:01:32] pss=126.2MB java=29852KB native=23672KB graphics=4760KB
[2026-06-01 02:02:33] pss=125.1MB java=28920KB native=23464KB graphics=4756KB
[2026-06-01 02:03:34] pss=122.1MB java=27972KB native=21276KB graphics=4776KB
[2026-06-01 02:04:34] pss=123.8MB java=27924KB native=22952KB graphics=4768KB
[2026-06-01 02:05:35] pss=126.0MB java=29504KB native=23604KB graphics=4772KB
[2026-06-01 02:06:35] pss=122.4MB java=28228KB native=21136KB graphics=4772KB
[2026-06-01 02:07:36] pss=122.3MB java=28200KB native=20988KB graphics=4768KB
[2026-06-01 02:08:37] pss=122.9MB java=28844KB native=20984KB graphics=4768KB
[2026-06-01 02:09:37] pss=125.0MB java=30200KB native=21772KB graphics=4760KB
[2026-06-01 02:10:38] pss=125.3MB java=29592KB native=22608KB graphics=4772KB
[2026-06-01 02:11:39] pss=126.4MB java=29500KB native=23788KB graphics=4776KB
[2026-06-01 02:12:39] pss=126.7MB java=29832KB native=23744KB graphics=4784KB
[2026-06-01 02:13:40] pss=128.4MB java=30404KB native=24892KB graphics=4768KB
[2026-06-01 02:14:40] pss=124.4MB java=29752KB native=21384KB graphics=4772KB
[2026-06-01 02:15:41] pss=124.7MB java=29788KB native=21712KB graphics=4772KB
[2026-06-01 02:16:42] pss=124.4MB java=28660KB native=22472KB graphics=4772KB
[2026-06-01 02:17:42] pss=124.5MB java=28848KB native=22460KB graphics=4768KB
[2026-06-01 02:18:43] pss=124.1MB java=28416KB native=22504KB graphics=4768KB
[2026-06-01 02:19:44] pss=124.5MB java=28776KB native=22480KB graphics=4768KB
[2026-06-01 02:20:44] pss=125.0MB java=29576KB native=22164KB graphics=4776KB
[2026-06-01 02:21:45] pss=122.6MB java=28240KB native=21088KB graphics=4772KB
[2026-06-01 02:22:45] pss=125.6MB java=29864KB native=22524KB graphics=4768KB
[2026-06-01 02:23:46] pss=123.0MB java=28780KB native=20908KB graphics=4768KB
[2026-06-01 02:24:47] pss=124.2MB java=28272KB native=22708KB graphics=4756KB
